ProbeNo,Block,State,Distraction,Intention,Vigilance
1,1,1,NaN,2,1
2,1,1,NaN,1,1
3,1,3,NaN,3,2
4,1,1,NaN,3,2
5,1,1,NaN,1,1
6,1,1,NaN,1,1
7,1,3,NaN,2,2
8,1,1,NaN,1,2
9,1,3,NaN,2,2
10,1,1,NaN,2,2
1,2,1,NaN,2,2
2,2,2,1,3,2
3,2,2,2,3,2
4,2,2,2,3,2
5,2,2,2,4,3
6,2,1,NaN,2,2
7,2,1,NaN,2,2
8,2,2,2,4,2
9,2,3,NaN,3,3
10,2,2,2,3,3
1,3,3,NaN,4,3
2,3,1,NaN,2,3
3,3,3,NaN,4,3
4,3,2,2,3,3
5,3,1,NaN,2,3
6,3,2,2,4,3
7,3,2,2,4,4
8,3,2,2,4,4
9,3,1,NaN,2,4
10,3,1,NaN,2,4
1,4,2,3,3,4
2,4,2,2,2,4
3,4,2,2,3,4
4,4,2,3,4,4
5,4,1,NaN,4,4
6,4,1,NaN,2,4
7,4,2,2,4,4
8,4,2,2,4,4
9,4,2,2,3,3
10,4,2,2,4,4
